"篇名","条","見出し","山海経訳","現行地","距離補正","音韻データ","アイヌ語解釈","出典"
"海内南経","伯慮国・離耳国・雕題国・北胊国","離耳","「伯慮国・離耳国・彫題国・北胊国はみな鬱水の南にあり、鬱水は湘陵の南海（山）より流れる」","古代百越の地。鬱水は今の江西省西江。広東省南部。","","上古音：「離」l ia／l ǐai／l ja／l ia／l jiarh
上古音：「耳」ȵ i̯əɡ／ȵ ǐə／ȵ jəɡ／n jiəɣ／n jəgx","アイヌ語：離耳＝「リ(ri)・アゥ(aw)・ニ(ni)・アク(ak)」＝「高い・角、枝分かれの・棒の（ように細長い）・弟（のように小さい峰）」","jomon2_bnum68.html"
"海内南経","伯慮国・離耳国・雕題国・北胊国","彫題","「伯慮国・離耳国・彫題国・北胊国はみな鬱水の南にあり、鬱水は湘陵の南海（山）より流れる」","古代百越の地。鬱水は今の江西省西江。広東省南部。","","上古音：「雕」t -／t iu／t ioɡ／t eəw／t iəgw
上古音：「題」dʰ ieɡ／d ie／dʰ ieɡ／d eɣ／d ig","アイヌ語：彫題＝「テュ(tu)・アク(ak)・テュ(tu)・アク(ak)」＝「峰の・弟（のように小さいもの）・峰の・弟」※たくさんの小さな峰。","jomon2_bnum68.html"
"海内南経","伯慮国・離耳国・雕題国・北胊国","北胊","「伯慮国・離耳国・彫題国・北胊国はみな鬱水の南にあり、鬱水は湘陵の南海（山）より流れる」","古代百越の地。鬱水は今の江西省西江。広東省南部。","","上古音：「北」p ək／p ək／p uə̂k／p wək／p ək
上古音：「胊」ɡʰ i̯u／- -／ɡʰ juɡ／ɡ jew／g jug","アイヌ語：北胊＝「プ(pu)・アク(ak)・キル(kir)・ク(ku)」＝「倉の（ような三角山の）・弟（のように小さい）・山脚の・矢（のように鋭いもの）」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
"海内南経","伯慮国・離耳国・雕題国・北胊国","鬱","「伯慮国・離耳国・彫題国・北胊国はみな鬱水の南にあり、鬱水は湘陵の南海（山）より流れる」","古代百越の地。鬱水は今の江西省西江。広東省南部。","","上古音：「鬱」ʔ i̯wət／0 ǐwət／ʔ juə̆t／ʔ jwət／·w jət","アイヌ語：鬱＝「イ(i)・ウ(u)・アッ(at)」＝「それ（峰、山）が・互いに重なるように・たくさんある（ところ）」","jomon2_bnum68.html"
"海内南経","伯慮国・離耳国・雕題国・北胊国","百越","「伯慮国・離耳国・彫題国・北胊国はみな鬱水の南にあり、鬱水は湘陵の南海（山）より流れる」","古代百越の地。鬱水は今の江西省西江。広東省南部。","","上古音：「百」p ăk／p eak／p uăk／p rwak／p rak
上古音：「越」ɡ i̯wăt／ɣ ǐwat／ɣ juăt／ɣ jwat／gw jat","アイヌ語：百越
＝「プ(pu)・アク(ak)・キル(kir)・アッ(at)」＝「倉の（屋根のような三角山の）・弟の（ように小さいもの）・山脚が・たくさんある（ところ）」","jomon2_bnum68.html"
"海内南経","兕","兕","「兕は舜葬の東、湘水の南にあり、その状は丑の如く蒼黒くて一角」","舜葬（九嶷山）の東。","","上古音：「兕」dz i̯ər／z ǐei／z jed／r jier／r jidx","アイヌ語：兕
＝「テュ(tu)・アッ(at)」＝「峰が・たくさんある（ところ）」
or「チゥ(ciw)・アッ(at)」＝「水流、水脈が・たくさんある（ところ）」","jomon2_bnum68.html"
"海内南経","蒼梧","蒼梧","「蒼梧の山は帝・舜を山の南に葬り、帝・丹朱をその北に葬る」","舜葬（九嶷山）。","","上古音：「蒼」tsʰ ɑŋ／tsʰ aŋ／tsʰ ɑŋ／tsʰ aŋ／tsh ang
上古音：「梧」ŋ o／ŋ a／ŋ ɑɡ／ŋ aɣ／ng ag","アイヌ語：蒼梧＝「テュ(tu)・アゥ(aw)・ウン(un)・キル(kir)・アク(ak)」＝「峰の・角、枝分かれ・にある・山脚の・弟（のように小さいもの）」","jomon2_bnum68.html"
"海内南経","汜林","汜林","「汜林は方三百里、狌狌の東にあり。狌狌は人の名を知る。この獣は豕（いのこ）のようで人面、舜葬の西にあり」","舜葬（九嶷山）の西。","","上古音：「汜」dz i̯əɡ／z ǐə／z jəɡ／r jiəɣ／r jəgx
上古音：「林」ɡl i̯əm／l ǐəm／l jəm／l iəm／gl jəm","アイヌ語：汜林＝「テュ(tu)・アク(ak)・リ(ri)・アム(am)」＝「峰の・弟の（ように小さい）・高い・爪（のように平べったく鋭いもの）」","jomon2_bnum68.html"
"海内南経","汜林","狌狌","「汜林は方三百里、狌狌の東にあり。狌狌は人の名を知る。この獣は豕（いのこ）のようで人面、舜葬の西にあり」","舜葬（九嶷山）の西。","","上古音：「猩」s ĕŋ／ʃ eŋ／s ĕŋ／s reŋ／s ring
上古音：「猩」s ieŋ／s ieŋ／s ieŋ／s eŋ／s ing","アイヌ語：狌狌＝「シル(sir)・エ(e)・エン(en)・シル(sir)・エ(e)・エン(en)」＝「山が・そこで・突き出ている（ところ）・山が・そこで・突き出ている（ところ）」※たくさんの山が突き出ているところ。","jomon2_bnum68.html"
"海内南経","犀牛","犀牛","「狌狌の西北に犀牛があり、その状は牛の如くで黒い」","狌狌（九嶷山の西）の西北。","","上古音：「犀」s iər／s iei／s ied／s er／st id
上古音：「牛」ŋ i̯ŭɡ／ŋ ǐwə／ŋ juə̆ɡ／ŋ jwəɣ／ng jəg","アイヌ語：犀牛＝「シル(sir)・アッ(at)・キル(kir)・アク(ak)」＝「山が・たくさんある・山脚の・弟（のように小さいもの）」","jomon2_bnum68.html"
